model_key,T,n_answers,n_formulaic_excluded,n_unusable_excluded,n_used,mean_first_divergence,kept
llama,2,30,4,3,23,1.7826086956521738,True
llama,4,30,1,5,24,1.5,True
llama,6,30,3,17,10,1.3,True
llama,8,30,3,3,24,1.4583333333333333,True
llama,10,30,5,0,25,1.36,True
llama,12,30,11,0,19,1.5789473684210527,True
llama,16,30,7,4,19,1.5789473684210527,True
llama,20,30,10,0,20,1.15,True
llama,24,30,16,1,13,1.3846153846153846,True
llama,30,30,7,17,6,0.5,True
mistral,2,30,5,0,25,1.52,True
mistral,4,30,0,0,30,1.3333333333333333,True
mistral,6,30,2,0,28,1.4285714285714286,True
mistral,8,30,0,1,29,1.3103448275862069,True
mistral,10,30,1,17,12,1.25,True
mistral,12,30,2,4,24,1.125,True
mistral,16,30,3,6,21,1.0476190476190477,True
mistral,20,30,1,14,15,1.0,True
mistral,24,30,1,27,2,1.5,False
mistral,30,30,0,29,1,2.0,False
olmo,2,30,9,0,21,1.4761904761904763,True
olmo,4,30,8,0,22,1.0909090909090908,True
olmo,6,30,12,0,18,1.2222222222222223,True
olmo,8,30,12,0,18,1.0,True
olmo,10,30,14,3,13,1.0,True
olmo,12,30,0,28,2,1.0,False
olmo,16,30,0,30,0,,False
olmo,20,27,0,27,0,,False
qwen,2,30,6,0,24,1.5,True
qwen,4,30,2,0,28,1.1428571428571428,True
qwen,6,30,0,0,30,1.0333333333333334,True
qwen,8,30,1,0,29,1.0,True
qwen,10,30,0,0,30,1.2,True
qwen,12,30,3,3,24,0.9583333333333334,True
qwen,16,30,7,3,20,1.15,True
qwen,20,30,2,22,6,1.1666666666666667,True
qwen,24,30,5,12,13,1.2307692307692308,True
qwen,30,30,0,29,1,1.0,False
