model_key,question_type,n,n_correct,n_correct_strict,n_rescued,rescued_rate
llama,initial_state_lookup,300,297,297,0,0.0
llama,person_timestep_lookup,300,41,41,0,0.0
llama,state_snapshot,300,4,4,0,0.0
llama,trajectory,300,9,9,0,0.0
llama,transfer_recall,300,160,160,0,0.0
mistral,initial_state_lookup,300,293,293,0,0.0
mistral,person_timestep_lookup,300,14,14,0,0.0
mistral,state_snapshot,300,2,2,0,0.0
mistral,trajectory,300,4,4,0,0.0
mistral,transfer_recall,300,158,158,0,0.0
olmo,initial_state_lookup,245,241,241,0,0.0
olmo,person_timestep_lookup,245,33,33,0,0.0
olmo,state_snapshot,237,5,5,0,0.0
olmo,trajectory,237,5,5,0,0.0
olmo,transfer_recall,245,146,146,0,0.0
qwen,initial_state_lookup,300,283,283,0,0.0
qwen,person_timestep_lookup,300,29,29,0,0.0
qwen,state_snapshot,300,10,10,0,0.0
qwen,trajectory,300,6,6,0,0.0
qwen,transfer_recall,300,177,177,0,0.0
