v1_label,v2_label,n
single_transfer,conservation_total,16
single_transfer,direction_global,55
single_transfer,direction_single,39
single_transfer,transfer_doubled,62
single_transfer,transfer_omitted,164
stale,stale,445
unexplained,arithmetic_slip,7
unexplained,conservation_total,12
unexplained,delta_readout,26
unexplained,digit_error,87
unexplained,direction_global,13
unexplained,out_of_range,71
unexplained,unexplained,87
wrong_person,boundary_off_by_one,66
wrong_person,conservation_total,21
wrong_person,delta_readout,16
wrong_person,direction_global,70
wrong_person,direction_single,19
wrong_person,lookahead,16
wrong_person,partial_update,6
wrong_person,transfer_doubled,26
wrong_person,transfer_omitted,104
wrong_person,wrong_person_other_cluster,40
wrong_person,wrong_person_same_cluster,52
wrong_timestep,boundary_off_by_one,73
wrong_timestep,conservation_total,27
wrong_timestep,delta_readout,13
wrong_timestep,direction_global,18
wrong_timestep,direction_single,14
wrong_timestep,lookahead,40
wrong_timestep,partial_update,12
wrong_timestep,transfer_doubled,15
wrong_timestep,transfer_omitted,51
