model_key,family,observed,chance,corrected
llama,A,0.7260869565217392,0.4009130728604053,0.3251738836613338
llama,B,0.1782608695652174,0.26307767478772104,-0.08481680522250364
llama,C,0.07173913043478261,0.12361213776640784,-0.05187300733162524
mistral,A,0.659877800407332,0.39720180028899266,0.26267600011833936
mistral,B,0.23014256619144602,0.2680836468591121,-0.03794108066766606
mistral,C,0.06720977596741344,0.12043825743748035,-0.053228481470066896
olmo,A,0.45209580838323354,0.3849994262944708,0.06709638208876267
olmo,B,0.3922155688622755,0.27857558403500526,0.11363998482727017
olmo,C,0.08682634730538923,0.12104447351340289,-0.03421812620801366
qwen,A,0.5441767068273092,0.3861225128131105,0.15805419401419873
qwen,B,0.28714859437751006,0.26516855099810777,0.021980043379402292
qwen,C,0.10441767068273092,0.12506018906811345,-0.02064251838538251
